Date,ID,Name,Sale_Price,Reg_Price,Discount,Collection,Brand,Type,Company,URL,SKU,SKU_Formatted,Rating,In_Stock,In_Stock_Status,Reviews
2023-02-17 09:54:36.275638,7160361255068,1/48 SUPERMARINE SPITFIRE MK.1,$64.99,$64.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-supermarine-spitfire-mk-1?_pos=17&_fid=65ed3324d&_ss=c,T61119,T61119,0,Low stock - 6 items left,YES,No reviews
2023-02-17 09:54:36.275638,7385322815644,A6M2B ZERO MODEL 21 ZEKE,$166.99,$166.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/a6m2b-zero-model-21-zeke?_pos=18&_fid=65ed3324d&_ss=c,T60317,T60317,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158236283036,1/48 VOUGHT F4U1D C ORSAIR,$39.99,$39.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-vought-f4u-1d-c-orsair?_pos=19&_fid=65ed3324d&_ss=c,T61061,T61061,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158235431068,1/48 MESSERSCHMITT BF109 E3,$39.99,$39.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-messerschmitt-bf109-e-3?_pos=20&_fid=65ed3324d&_ss=c,T61050,T61050,0,Low stock - 4 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158229762204,1/32 P51D MUSTANG F,$176.99,$176.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-32-p-51d-mustang-f?_pos=21&_fid=65ed3324d&_ss=c,T60322,T60322,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158236545180,1/48 MESSERSCHMITT B F109R4/7 TROP.,$39.99,$39.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-messerschmitt-b-f109r-4-7-trop?_pos=22&_fid=65ed3324d&_ss=c,T61063,T61063,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158236479644,1/48 DE HAVILLAND MOSQUITO FB MK.VI/NF MK.II,$49.99,$49.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-de-havilland-mosquito-fb-mk-vi-nf-mk-ii?_pos=23&_fid=65ed3324d&_ss=c,T61062,T61062,0,Low stock - 4 items left,YES,No reviews
2023-02-17 09:54:36.275638,7164470034588,1/32 US P51D/K MUSTANG PACIFIC VER.,$204.99,$204.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-32-us-p-51d-k-mustang-pacific-ver?_pos=24&_fid=65ed3324d&_ss=c,T60323,T60323,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7165167763612,1/48 NAKAJIMA A6M2NTYPE 2 FLOAT PLANE,$24.99,$24.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-nakajima-a6m2-ntype-2-float-plane?_pos=25&_fid=65ed3324d&_ss=c,T61017,T61017,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158136438940,1/48 GRUMMAN F14A TOMCAT U.S MISSILE,$144.99,$144.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-grumman-f-14a-tomcat-u-s-missile?_pos=26&_fid=65ed3324d&_ss=c,T61114,T61114,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158233039004,1/48 NAKAJIMA KI84IA HAYATE FRANK,$24.99,$24.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-nakajima-ki-84-ia-hayate-frank?_pos=27&_fid=65ed3324d&_ss=c,T61013,T61013,0,Low stock - 5 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158234415260,1/48 NORTH AMERICAN P51D MUSTANG,$39.99,$39.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-north-american-p-51d-mustang?_pos=28&_fid=65ed3324d&_ss=c,T61040,T61040,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158090104988,1/48 F16CJ FIGHTING FALCON,$74.99,$74.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-f-16cj-fighting-falcon?_pos=29&_fid=776aca48f&_ss=c,T61098,T61098,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7164470296732,1/72 MOSQUITO FB MK.VI/NF MK.II,$36.99,$36.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-72-mosquito-fb-mk-vi-nf-mk-ii?_pos=30&_fid=776aca48f&_ss=c,T60747,T60747,0,Low stock - 5 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158234185884,1/48 FOCKEWULF FW190 A3,$39.99,$39.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-focke-wulf-fw190-a-3?_pos=31&_fid=776aca48f&_ss=c,T61037,T61037,0,Low stock - 4 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158233202844,148 MITSUBISHI A6M3 ZERO FIGHTER HAMP,$24.99,$24.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-mitsubishi-a6m3-zero-fighter-hamp?_pos=32&_fid=776aca48f&_ss=c,T61025,T61025,0,Low stock - 1 item left,YES,No reviews
2023-02-17 09:54:36.275638,7158238904476,1/48 KAWASAKI KI61ID HEIN TONY,$69.99,$69.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-kawasaki-ki-61-id-hein-tony?_pos=33&_fid=776aca48f&_ss=c,T61115,T61115,0,Low stock - 3 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158233759900,148 MCDONNELL DOUGLAS F15C EAGLE,$49.99,$49.99,$0,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-48-mcdonnell-douglas-f15c-eagle?_pos=34&_fid=776aca48f&_ss=c,T61029,T61029,0,Low stock - 2 items left,YES,No reviews
2023-02-17 09:54:36.275638,7158229696668,1/32 A6M5 ZERO FIGHTER MOD. 52 ZEKE,Sale price,$164.99,Save $5.00,MODEL KITS,TAMIYA,MODEL KITS - Aircraft,Hobbyco,https://www.hobbyco.com.au/collections/model-kits/products/1-32-a6m5-zero-fighter-mod-52-zeke?_pos=35&_fid=776aca48f&_ss=c,T60318,T60318,0,Low stock - 1 item left,YES,No reviews
