Date,Company,Name,Price,SKU,Rating,In_Stock,Reviews
2023-02-17 09:54:36.275638,Hobbyco,148 NAKAJIMA HAYATE FRANK AND KUROGANE SCENERY SET,Sale price,T61116,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,172 SUPERMARINE SPITFIRE MK.VB/ MK.VB TROP.,$29.99,T60756,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 SUPERMARINE SPITFIRE MK.1,$24.99,T60748,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 MITSUBISHI A6M5 ZERO FIGHTER ZEKE,$34.99,T60779,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 DOUGLAS F4D1 SKYRAY,$24.99,T60741,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 VOUGHT F4U1A CORSAIR,$39.99,T60775,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 A6M3 ZERO MODEL 32 HAMP,Sale price,T60784,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/48 JAPAN AIR SELF DEFENSE FORCE F15J EAGLE,$49.99,T61030,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/48 P47D THUNDERBOLT B/TOP,$56.99,T61090,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 WB F4U1D CORSAIR,$32.99,T60752,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 MITSUBISHI A6M2B ZERO FIGHTER,$32.99,T60780,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/72 MOSQUITO B MK.I V/PR MK.IV,$36.99,T60753,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/48 GEKKO TYPE 11 KOU,$66.99,T61093,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,T37008 1/48 JUNKERS JU87 B2 STUKA W/BOMB LOADING SET,$79.99,T37008,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,148 MITSUBISHI A6M5/5A ZERO FIGHTER ZEKE,$72.99,T61103,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/48 RAIDEN JACK,$24.99,T61018,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,148 DOUGLAS F4D1 SKYRAY,Sale price,T61055,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,172 KAWASAKI KI61ID HIEN TONY SILVER COLOR PLATED W/ CAMO DECALS,Sale price,T25420,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,148 FOCKEWULF FW 190 D9,$39.99,T61041,0,YES,No reviews
2023-02-17 09:54:36.275638,Hobbyco,1/48 HEINKEL HE162,$49.99,T61097,0,YES,No reviews
